website,task_group,task_id,correct,tool,count
calendar,calendar_user_query,calendar_user_query_1243,True,computer_use:left_click,42
calendar,calendar_user_query,calendar_user_query_1243,True,computer_use:scroll,15
calendar,calendar_user_query,calendar_user_query_1243,True,computer_use:terminate,7
calendar,calendar_user_query,calendar_user_query_1243,True,computer_use:pause_and_memorize_fact,2
calendar,calendar_user_query,calendar_user_query_1243,True,computer_use:type,1
calendar,calendar_user_query,calendar_user_query_1243,False,computer_use:left_click,104
calendar,calendar_user_query,calendar_user_query_1243,False,computer_use:scroll,12
calendar,calendar_user_query,calendar_user_query_1243,False,computer_use:terminate,8
calendar,calendar_user_query,calendar_user_query_1243,False,computer_use:visit_url,6
calendar,calendar_user_query,calendar_user_query_1243,False,computer_use:type,5
calendar,calendar_user_query,calendar_user_query_1243,False,computer_use:key,2
calendar,calendar_user_query,calendar_user_query_1243,False,computer_use:web_search,2
calendar,calendar_user_query,calendar_user_query_1422,True,computer_use:left_click,140
calendar,calendar_user_query,calendar_user_query_1422,True,computer_use:type,36
calendar,calendar_user_query,calendar_user_query_1422,True,computer_use:terminate,9
calendar,calendar_user_query,calendar_user_query_1422,True,computer_use:key,1
calendar,calendar_user_query,calendar_user_query_1422,True,computer_use:scroll,1
calendar,calendar_user_query,calendar_user_query_1422,False,computer_use:left_click,90
calendar,calendar_user_query,calendar_user_query_1422,False,computer_use:scroll,18
calendar,calendar_user_query,calendar_user_query_1422,False,computer_use:type,17
calendar,calendar_user_query,calendar_user_query_1422,False,computer_use:visit_url,15
calendar,calendar_user_query,calendar_user_query_1422,False,computer_use:mouse_move,5
calendar,calendar_user_query,calendar_user_query_1422,False,computer_use:terminate,5
calendar,calendar_user_query,calendar_user_query_1422,False,computer_use:history_back,3
calendar,calendar_user_query,calendar_user_query_1422,False,computer_use:web_search,3
calendar,calendar_user_query,calendar_user_query_1422,False,computer_use:key,2
calendar,calendar_user_query,calendar_user_query_1442,True,computer_use:left_click,27
calendar,calendar_user_query,calendar_user_query_1442,True,computer_use:scroll,13
calendar,calendar_user_query,calendar_user_query_1442,True,computer_use:terminate,11
calendar,calendar_user_query,calendar_user_query_1442,True,computer_use:pause_and_memorize_fact,7
calendar,calendar_user_query,calendar_user_query_1442,True,computer_use:mouse_move,1
calendar,calendar_user_query,calendar_user_query_1442,True,computer_use:type,1
calendar,calendar_user_query,calendar_user_query_1442,False,computer_use:left_click,20
calendar,calendar_user_query,calendar_user_query_1442,False,computer_use:scroll,5
calendar,calendar_user_query,calendar_user_query_1442,False,computer_use:terminate,5
calendar,calendar_user_query,calendar_user_query_1442,False,computer_use:mouse_move,4
calendar,calendar_user_query,calendar_user_query_1442,False,computer_use:pause_and_memorize_fact,4
calendar,calendar_user_query,calendar_user_query_1685,True,computer_use:left_click,34
calendar,calendar_user_query,calendar_user_query_1685,True,computer_use:terminate,4
calendar,calendar_user_query,calendar_user_query_1685,True,computer_use:mouse_move,3
calendar,calendar_user_query,calendar_user_query_1685,True,computer_use:key,2
calendar,calendar_user_query,calendar_user_query_1685,True,computer_use:scroll,2
calendar,calendar_user_query,calendar_user_query_1685,True,computer_use:visit_url,1
calendar,calendar_user_query,calendar_user_query_1685,True,computer_use:web_search,1
calendar,calendar_user_query,calendar_user_query_1685,False,computer_use:left_click,88
calendar,calendar_user_query,calendar_user_query_1685,False,computer_use:visit_url,28
calendar,calendar_user_query,calendar_user_query_1685,False,computer_use:terminate,10
calendar,calendar_user_query,calendar_user_query_1685,False,computer_use:pause_and_memorize_fact,8
calendar,calendar_user_query,calendar_user_query_1685,False,computer_use:web_search,8
calendar,calendar_user_query,calendar_user_query_1685,False,computer_use:scroll,6
calendar,calendar_user_query,calendar_user_query_1685,False,computer_use:key,4
calendar,calendar_user_query,calendar_user_query_1685,False,computer_use:type,4
calendar,calendar_user_query,calendar_user_query_1685,False,computer_use:history_back,3
calendar,calendar_user_query,calendar_user_query_1685,False,computer_use:mouse_move,3
calendar,calendar_user_query,calendar_user_query_1774,True,computer_use:left_click,12
calendar,calendar_user_query,calendar_user_query_1774,True,computer_use:scroll,6
calendar,calendar_user_query,calendar_user_query_1774,True,computer_use:terminate,4
calendar,calendar_user_query,calendar_user_query_1774,True,computer_use:web_search,2
calendar,calendar_user_query,calendar_user_query_1774,True,computer_use:pause_and_memorize_fact,1
calendar,calendar_user_query,calendar_user_query_1774,False,computer_use:left_click,64
calendar,calendar_user_query,calendar_user_query_1774,False,computer_use:web_search,29
calendar,calendar_user_query,calendar_user_query_1774,False,computer_use:scroll,23
calendar,calendar_user_query,calendar_user_query_1774,False,computer_use:visit_url,9
calendar,calendar_user_query,calendar_user_query_1774,False,computer_use:terminate,8
calendar,calendar_user_query,calendar_user_query_1774,False,computer_use:history_back,7
calendar,calendar_user_query,calendar_user_query_1774,False,computer_use:pause_and_memorize_fact,1
calendar,calendar_user_query,calendar_user_query_217,True,computer_use:left_click,14
calendar,calendar_user_query,calendar_user_query_217,True,computer_use:scroll,3
calendar,calendar_user_query,calendar_user_query_217,True,computer_use:terminate,3
calendar,calendar_user_query,calendar_user_query_217,True,computer_use:mouse_move,2
calendar,calendar_user_query,calendar_user_query_217,True,computer_use:pause_and_memorize_fact,2
calendar,calendar_user_query,calendar_user_query_217,True,computer_use:type,1
calendar,calendar_user_query,calendar_user_query_217,False,computer_use:left_click,104
calendar,calendar_user_query,calendar_user_query_217,False,computer_use:terminate,12
calendar,calendar_user_query,calendar_user_query_217,False,computer_use:web_search,11
calendar,calendar_user_query,calendar_user_query_217,False,computer_use:visit_url,9
calendar,calendar_user_query,calendar_user_query_217,False,computer_use:type,8
calendar,calendar_user_query,calendar_user_query_217,False,computer_use:mouse_move,6
calendar,calendar_user_query,calendar_user_query_217,False,computer_use:scroll,3
calendar,calendar_user_query,calendar_user_query_217,False,computer_use:key,2
calendar,calendar_user_query,calendar_user_query_587,True,computer_use:terminate,14
calendar,calendar_user_query,calendar_user_query_587,True,computer_use:left_click,12
calendar,calendar_user_query,calendar_user_query_587,True,computer_use:pause_and_memorize_fact,6
calendar,calendar_user_query,calendar_user_query_587,True,computer_use:scroll,2
calendar,calendar_user_query,calendar_user_query_587,False,computer_use:terminate,2
calendar,calendar_user_query,calendar_user_query_587,False,computer_use:left_click,1
calendar,calendar_user_query,calendar_user_query_587,False,computer_use:pause_and_memorize_fact,1
calendar,calendar_user_query,calendar_user_query_85,True,computer_use:terminate,14
calendar,calendar_user_query,calendar_user_query_85,True,computer_use:pause_and_memorize_fact,9
calendar,calendar_user_query,calendar_user_query_85,True,computer_use:left_click,7
calendar,calendar_user_query,calendar_user_query_85,True,computer_use:type,3
calendar,calendar_user_query,calendar_user_query_85,True,computer_use:web_search,2
calendar,calendar_user_query,calendar_user_query_85,False,computer_use:left_click,2
calendar,calendar_user_query,calendar_user_query_85,False,computer_use:scroll,2
calendar,calendar_user_query,calendar_user_query_85,False,computer_use:terminate,2
email,email_user_query,email_user_query_1103,True,computer_use:type,30
email,email_user_query,email_user_query_1103,True,computer_use:left_click,21
email,email_user_query,email_user_query_1103,True,computer_use:terminate,10
email,email_user_query,email_user_query_1103,False,computer_use:left_click,17
email,email_user_query,email_user_query_1103,False,computer_use:type,17
email,email_user_query,email_user_query_1103,False,computer_use:terminate,6
email,email_user_query,email_user_query_1281,True,computer_use:left_click,34
email,email_user_query,email_user_query_1281,True,computer_use:terminate,8
email,email_user_query,email_user_query_1281,True,computer_use:key,4
email,email_user_query,email_user_query_1281,False,computer_use:left_click,36
email,email_user_query,email_user_query_1281,False,computer_use:key,11
email,email_user_query,email_user_query_1281,False,computer_use:terminate,8
email,email_user_query,email_user_query_1281,False,computer_use:visit_url,2
email,email_user_query,email_user_query_1281,False,computer_use:web_search,2
email,email_user_query,email_user_query_1281,False,computer_use:history_back,1
email,email_user_query,email_user_query_1281,False,computer_use:type,1
email,email_user_query,email_user_query_1352,True,computer_use:terminate,14
email,email_user_query,email_user_query_1352,True,computer_use:type,14
email,email_user_query,email_user_query_1352,True,computer_use:pause_and_memorize_fact,4
email,email_user_query,email_user_query_1352,True,computer_use:left_click,3
email,email_user_query,email_user_query_1352,False,computer_use:terminate,2
email,email_user_query,email_user_query_1352,False,computer_use:type,2
email,email_user_query,email_user_query_1352,False,computer_use:left_click,1
email,email_user_query,email_user_query_1354,True,computer_use:left_click,28
email,email_user_query,email_user_query_1354,True,computer_use:terminate,9
email,email_user_query,email_user_query_1354,True,computer_use:key,1
email,email_user_query,email_user_query_1354,False,computer_use:left_click,30
email,email_user_query,email_user_query_1354,False,computer_use:terminate,7
email,email_user_query,email_user_query_1354,False,computer_use:type,1
email,email_user_query,email_user_query_1354,False,computer_use:visit_url,1
email,email_user_query,email_user_query_1354,False,computer_use:web_search,1
email,email_user_query,email_user_query_21,True,computer_use:left_click,19
email,email_user_query,email_user_query_21,True,computer_use:web_search,11
email,email_user_query,email_user_query_21,True,computer_use:pause_and_memorize_fact,8
email,email_user_query,email_user_query_21,True,computer_use:type,6
email,email_user_query,email_user_query_21,True,computer_use:terminate,5
email,email_user_query,email_user_query_21,True,computer_use:visit_url,3
email,email_user_query,email_user_query_21,False,computer_use:web_search,78
email,email_user_query,email_user_query_21,False,computer_use:left_click,34
email,email_user_query,email_user_query_21,False,computer_use:visit_url,32
email,email_user_query,email_user_query_21,False,computer_use:pause_and_memorize_fact,10
email,email_user_query,email_user_query_21,False,computer_use:terminate,9
email,email_user_query,email_user_query_21,False,computer_use:type,9
email,email_user_query,email_user_query_21,False,computer_use:history_back,5
email,email_user_query,email_user_query_21,False,computer_use:scroll,2
email,email_user_query,email_user_query_21,False,computer_use:key,1
email,email_user_query,email_user_query_905,True,computer_use:terminate,7
email,email_user_query,email_user_query_905,True,computer_use:left_click,4
email,email_user_query,email_user_query_905,True,computer_use:type,2
email,email_user_query,email_user_query_905,False,computer_use:terminate,7
email,email_user_query,email_user_query_905,False,computer_use:left_click,3
email,email_user_query,email_user_query_905,False,computer_use:key,1
email,email_user_query,email_user_query_905,False,computer_use:type,1
uber,uber_user_query,uber_user_query_436,True,computer_use:left_click,110
uber,uber_user_query,uber_user_query_436,True,computer_use:wait,35
uber,uber_user_query,uber_user_query_436,True,computer_use:type,25
uber,uber_user_query,uber_user_query_436,True,computer_use:scroll,16
uber,uber_user_query,uber_user_query_436,True,computer_use:terminate,10
uber,uber_user_query,uber_user_query_436,True,computer_use:mouse_move,9
uber,uber_user_query,uber_user_query_436,True,computer_use:key,8
uber,uber_user_query,uber_user_query_436,True,computer_use:history_back,2
uber,uber_user_query,uber_user_query_436,True,computer_use:visit_url,1
uber,uber_user_query,uber_user_query_436,False,computer_use:left_click,82
uber,uber_user_query,uber_user_query_436,False,computer_use:type,18
uber,uber_user_query,uber_user_query_436,False,computer_use:wait,14
uber,uber_user_query,uber_user_query_436,False,computer_use:visit_url,13
uber,uber_user_query,uber_user_query_436,False,computer_use:key,10
uber,uber_user_query,uber_user_query_436,False,computer_use:web_search,7
uber,uber_user_query,uber_user_query_436,False,computer_use:scroll,6
uber,uber_user_query,uber_user_query_436,False,computer_use:history_back,5
uber,uber_user_query,uber_user_query_436,False,computer_use:mouse_move,4
uber,uber_user_query,uber_user_query_436,False,computer_use:terminate,2
uber,uber_user_query,uber_user_query_436,False,computer_use:pause_and_memorize_fact,1
uber,uber_user_query,uber_user_query_807,True,computer_use:web_search,13
uber,uber_user_query,uber_user_query_807,True,computer_use:terminate,1
uber,uber_user_query,uber_user_query_807,True,computer_use:visit_url,1
uber,uber_user_query,uber_user_query_807,False,computer_use:web_search,236
uber,uber_user_query,uber_user_query_807,False,computer_use:visit_url,46
uber,uber_user_query,uber_user_query_807,False,computer_use:history_back,12
uber,uber_user_query,uber_user_query_807,False,computer_use:terminate,9
uber,uber_user_query,uber_user_query_807,False,computer_use:scroll,3
uber,uber_user_query,uber_user_query_807,False,computer_use:left_click,1
uber,uber_user_query,uber_user_query_807,False,computer_use:type,1
